"variable","scenario","total_deaths_lci","total_deaths_uci","total_deaths","total_vials_lci","total_vials_uci","total_vials","total_cost_lci","total_cost_uci","total_cost","total_deaths_averted_lci","total_deaths_averted_uci","total_deaths_averted","total_YLL_lci","total_YLL_uci","total_YLL","total_YLL_averted_lci","total_YLL_averted_uci","total_YLL_averted","vaccinated_lci","vaccinated_uci","vaccinated","fully_vaccinated_lci","fully_vaccinated_uci","fully_vaccinated","RIG_lci","RIG_uci","RIG","cost_per_death_averted_lci","cost_per_death_averted_uci","cost_per_death_averted","cost_per_YLL_averted_lci","cost_per_YLL_averted_uci","cost_per_YLL_averted","deaths_averted_per_100k_vaccinated_lci","deaths_averted_per_100k_vaccinated_uci","deaths_averted_per_100k_vaccinated"
"non_suspect_bite_incidence","a2",2261.42745000279,3718.48849406744,2998.91506153235,301678546.895119,409234959.795806,355796578.93494,67336979080.7497,80071692005.8328,73744570999.3638,16604.9770323894,27303.7056521066,22019.8449974509,36617.4188954379,60210.3990356572,48558.9369458326,265866.717907987,437166.916647969,352565.614761754,76899541.3011787,104316269.806366,90694528.9886243,73939732.1463808,100301210.091537,87203760.4788454,13236333.5464654,17955437.9404208,15610795.802167,2466221.24991866,4822150.12099363,3349005.00016693,154030.363498373,301172.304062311,209165.522421115,0.00000000159179167959244,0.00000000355056807753522,0.00000000242791326478059
"non_suspect_bite_incidence","a3",766.435047736687,766.453436101382,766.443919134281,278470554.673021,381202655.667733,329547103.224059,86619419667.1153,98955459328.3655,92752676191.4593,3961.5106770309,3961.52906539559,3961.520193998,14155.9458344901,14156.285464959,14156.1096879362,73168.5362411425,73168.8758716113,73168.7120181652,72898050.9615237,99791271.1172076,86268875.1895443,66337226.3749866,90810056.7166589,78504676.4224853,12547577.0217523,17176572.5410494,14849030.1420003,21865148.0873246,24979223.1792068,23413404.8671484,1183828.76100359,1352431.85680573,1267654.89829084,0.000000000396979678951879,0.000000000543434154019636,0.000000000459206195200066
"non_suspect_bite_incidence","a7",766.435047736687,766.453436101382,766.443919134281,122013218.863871,167006803.373941,144383217.9339,68157287902.8964,73680108630.8329,70903134802.9189,3961.5106770309,3961.52906539559,3961.520193998,14155.9458344901,14156.285464959,14156.1096879362,73168.5362411425,73168.8758716113,73168.7120181652,31940633.2104373,43719058.4748537,37796653.9093979,29065976.221498,39784343.2121169,34394955.0575521,5497781.49134652,7525142.93998419,6505749.05415511,17204793.093217,18598992.818077,17897961.2196203,931506.560555765,1006991.69910963,969036.256717437,0.00000000090612900076736,0.00000000124027881328948,0.0000000010481139953537
"p_prevent","a2",2236.03196751406,3758.3822618528,3003.95514091223,355093155.31053,355358582.549587,355227752.724645,73661285422.2416,73692712090.3577,73677221798.1679,16410.9872529789,27562.8228291988,22068.5391264112,36210.3403965177,60844.9174051514,48640.7805237624,262761.993535709,441322.581746848,353345.289108014,90515222.3902127,90582881.2713048,90549532.0204875,87031355.2650524,87096410.0034889,87064344.3418352,15579932.6539154,15591578.4388233,15585838.1990264,2672486.99012817,4490449.65755982,3338563.61656456,166910.302053148,280454.228173386,208513.383563593,0.00000000181170956616255,0.00000000304510358604379,0.00000000243717870584003
"p_prevent","a3",757.006799655741,776.368150768226,766.346110358388,329084340.907665,329084340.907665,329084340.907665,92697107832.2658,92697107832.2658,92697107832.2658,3951.59596236405,3970.95731347654,3961.61800277389,13981.8074394074,14339.4088283839,14154.303173819,72985.4128777176,73343.014266694,73170.5185322824,86147733.2219018,86147733.2219018,86147733.2219018,78394437.2319306,78394437.2319306,78394437.2319306,14828178.5808198,14828178.5808198,14828178.5808198,23343768.3950096,23458144.1815245,23398800.1284728,1263884.62158366,1270077.1863492,1266864.16457973,0.000000000458699934934494,0.000000000460947394082678,0.000000000459863290026383
"p_prevent","a7",757.006799655741,776.368150768226,766.346110358388,144180541.894092,144180541.894092,144180541.894092,70878256957.6462,70878256957.6462,70878256957.6462,3951.59596236405,3970.95731347654,3961.61800277389,13981.8074394074,14339.4088283839,14154.303173819,72985.4128777176,73343.014266694,73170.5185322824,37743597.3544743,37743597.3544743,37743597.3544743,34346673.5925716,34346673.5925716,34346673.5925716,6496616.69463889,6496616.69463889,6496616.69463889,17849161.137316,17936615.3910237,17891239.616747,966394.109463713,971129.08131928,968672.333876862,0.00000000104695795826033,0.00000000105208766302341,0.0000000010496132537574
"p_transmission","a2",2039.87167574788,3994.25039519673,2986.98474358878,355099221.664275,355361770.775515,355225148.166095,73662003680.4223,73693089577.3047,73676913417.6209,14977.8115843204,29328.4855752903,21932.2464443689,33029.9411728404,64675.5813354189,48365.7592581065,239813.739037666,469586.208470286,351163.050946785,90516768.7375588,90583693.9678453,90548868.1040112,87032842.0945788,87097191.4199123,87063705.9790362,15580198.8189523,15591718.3242154,15585723.9224029,2511619.75245267,4920150.66169283,3359296.25834281,156865.773209954,307293.026133629,209808.27344727,0.0000000016534776766376,0.00000000324011627727502,0.0000000024221447383722
"p_transmission","a3",609.433497933365,938.04571620305,768.047994343411,329084340.907665,329084340.907665,329084340.907665,92697107832.2658,92697107832.2658,92697107832.2658,3149.98372291292,4848.49172155894,3969.81119452224,11256.1496397441,17325.5703638019,14185.7367278817,58179.7493378725,89550.9494144921,73321.8456133492,86147733.2219018,86147733.2219018,86147733.2219018,78394437.2319306,78394437.2319306,78394437.2319306,14828178.5808198,14828178.5808198,14828178.5808198,19118751.3882072,29427805.3432432,23350507.9435955,1035132.6081783,1593288.19541552,1264249.51604586,0.000000000365649054839215,0.000000000562811294067373,0.000000000460814352978585
"p_transmission","a7",609.433497933365,938.04571620305,768.047994343411,144180541.894092,144180541.894092,144180541.894092,70878256957.6462,70878256957.6462,70878256957.6462,3149.98372291292,4848.49172155894,3969.81119452224,11256.1496397441,17325.5703638019,14185.7367278817,58179.7493378725,89550.9494144921,73321.8456133492,37743597.3544743,37743597.3544743,37743597.3544743,34346673.5925716,34346673.5925716,34346673.5925716,6496616.69463889,6496616.69463889,6496616.69463889,14618619.7745753,22501150.2256596,17854314.3450872,791485.265327359,1218263.36077917,966673.115832506,0.000000000834574323514901,0.00000000128458654219513,0.00000000105178400385082
"suspect_bite_incidence","a2",2784.0890695421,3196.62083626958,2984.84838539376,355188662.483816,355260061.568502,355224178.479857,73672611206.9541,73681196773.5636,73676801043.1562,20418.8308229387,23423.7620528518,21916.499353135,45076.4026261217,51826.6483227108,48332.8526827912,327093.006197758,375888.478855528,350924.423220902,90539565.7918217,90557733.80917,90548621.2197693,87054765.4500864,87072296.9750811,87063468.020159,15584122.7619173,15587249.9319034,15585681.4274528,3145208.31626979,3608492.44564922,3361704.79856389,195995.927917945,225260.691538652,209950.622321826,0.0000000022547859762002,0.00000000258712993021307,0.00000000242041226668065
"suspect_bite_incidence","a3",406.357629771984,1287.0139197205,761.922179743172,329041330.514524,329146520.962778,329083800.804097,92691285825.9363,92704695117.1972,92697042099.7645,2100.36173204714,6652.18549166038,3938.14869739927,7648.07388611955,22637.401799107,14082.6324647305,39530.9956977755,117005.71374152,72788.9308119493,86136473.9566816,86164010.7232404,86147591.8335332,78384191.3005803,78409249.7581487,78394308.5685152,14826240.5797938,14830980.3457377,14828154.2443469,13933959.8906465,44137490.0821687,23538228.0412573,792194.525052877,2345114.09289936,1273504.65332769,0.000000000243763227177704,0.000000000772284397780874,0.000000000457139731196332
"suspect_bite_incidence","a7",406.357629771984,1287.0139197205,761.922179743172,63115890.8710983,134010477.967482,89820678.8768578,61322603269.0359,69801344286.7403,64673422558.7652,2100.36173204714,6652.18549166038,3938.14869739927,7648.07388611955,22637.401799107,14082.6324647305,39530.9956977755,117005.71374152,72788.9308119493,16522484.5212299,35081276.9548382,23513266.7216905,15035460.9143192,31923962.0289027,21397072.7167384,2843932.6482167,6038364.79585152,4047221.03447098,9218414.51142846,33233010.876992,16422290.6568955,524099.219671486,1765737.06416072,888506.285740747,0.000000000598713021407696,0.00000000402614115517125,0.00000000167486242724683
